,dist,crop,eff
547,SIRSA,Sugarcane,49.92554961898923
548,SITAMARHI,Sugarcane,53.4609838878395
549,SITAPUR,Sugarcane,54.847191001702996
550,SIVAGANGA,Coconut ,2366.858069420632
551,SIVASAGAR,Coconut ,6039.801551464629
552,SIWAN,Sugarcane,41.00780795275479
553,SOLAN,Onion,8.971563981042655
554,SOLAPUR,Sugarcane,83.62261451724459
555,SONBHADRA,Sugarcane,47.03154305200341
556,SONEPUR,Sugarcane,64.74324922532095
557,SONIPAT,Sugarcane,55.4497901039571
558,SONITPUR,Coconut ,6697.865074496056
559,SOUTH ANDAMANS,Coconut ,3950.82067240222
560,SOUTH DISTRICT,Potato,5.881226053639847
561,SOUTH GARO HILLS,Banana,10.889522058823529
562,SOUTH GOA,Coconut ,3290.9472927311203
563,SOUTH TRIPURA,Sugarcane,49.431553471486914
564,SOUTH WEST GARO HILLS,Dry ginger,27.470108695652176
565,SOUTH WEST KHASI HILLS,Potato,12.80089932550587
566,SPSR NELLORE,Coconut ,12854.28303823454
567,SRIKAKULAM,Coconut ,11635.597601057905
568,SRINAGAR,Potato,9.996710075394105
569,SUKMA,Banana,35.18269230769231
570,SULTANPUR,Sugarcane,49.898389672611124
571,SUNDARGARH,Sugarcane,66.88746041798606
572,SUPAUL,Sugarcane,41.3580375782881
573,SURAJPUR,Potato,5.2930809966142895
574,SURAT,Sugarcane,71.04847871323322
575,SURENDRANAGAR,Sugarcane,69.51219512195122
576,SURGUJA,Banana,29.08219178082192
577,TAMENGLONG,Sugarcane,32.666666666666664
578,TAPI,Banana,76.85714285714286
579,TARN TARAN,Sugarcane,92.95352323838081
580,TAWANG,Potato,6.506749418153608
581,TEHRI GARHWAL,Dry ginger,13.843023255813954
582,THANE,Banana,23.34
583,THANJAVUR,Coconut ,4778.431785823862
