,District,State,Latitude,Longitude,Crop,eff
268,MORENA,Madhya Pradesh,26.37313504531724,77.88447341389724,Sugarcane,37.60279383029144
269,NARSINGHPUR,Madhya Pradesh,22.951344683026598,79.002024233129,Sugarcane,46.39191766381537
270,NEEMUCH,Madhya Pradesh,24.70311893333336,75.06608186666664,Sugarcane,38.99159663865546
271,PANNA,Madhya Pradesh,24.451325840092657,80.21133001158752,Banana,25.294117647058822
272,RAISEN,Madhya Pradesh,23.292518206521724,78.16305495923909,Sugarcane,15.754706714550005
273,RAJGARH,Madhya Pradesh,23.785499026425583,76.66431223922116,Papaya,25.34375
274,RATLAM,Madhya Pradesh,23.503562290502792,75.14895782122909,Papaya,56.361111111111114
275,REWA,Madhya Pradesh,24.861184625158856,81.57572465057183,Sugarcane,26.386687797147385
276,SAGAR,Madhya Pradesh,23.800318709677374,78.71940357771273,Papaya,27.0
277,SATNA,Madhya Pradesh,24.62777621776502,80.75547048710598,Papaya,23.92452830188679
278,SEHORE,Madhya Pradesh,22.9297199679658,77.06780202883085,Sugarcane,40.01013171225937
279,SEONI,Madhya Pradesh,22.33230487804874,79.66053863928111,Sugarcane,29.305387612521834
280,SHAHDOL,Madhya Pradesh,23.44859864559819,81.4596831828442,Sugarcane,24.350649350649352
281,SHAJAPUR,Madhya Pradesh,23.566620317220547,76.33555181268885,Papaya,52.07692307692308
282,SHEOPUR,Madhya Pradesh,25.78014810996563,77.16911116838484,Sugarcane,39.30390492359932
283,SHIVPURI,Madhya Pradesh,25.37802451874367,77.74861600810549,Sugarcane,21.831491712707184
284,SIDHI,Madhya Pradesh,24.17547189952905,82.1053783359498,Sugarcane,23.079019073569484
285,TIKAMGARH,Madhya Pradesh,25.14099852104666,78.89357064846428,Sugarcane,40.82256675279931
286,UJJAIN,Madhya Pradesh,23.319288862745065,75.80383717647058,Papaya,29.85185185185185
287,UMARIA,Madhya Pradesh,23.59601063063061,80.90879477477475,Sugarcane,20.555555555555557
288,VIDISHA,Madhya Pradesh,23.82838307984792,77.9013507604563,Papaya,61.54545454545455
289,WEST DISTRICT,Madhya Pradesh,22.027140000000017,75.87343742489269,Other Vegetables,4.338557993730408
290,AHMEDNAGAR,Maharashtra,19.21759903201788,74.69220260610572,Banana,111.7
291,AKOLA,Maharashtra,20.746310479041902,77.12122320359276,Sugarcane,69.77147213281383
292,AMRAVATI,Maharashtra,21.16520991810736,77.67583503184723,Banana,69.975
293,BHANDARA,Maharashtra,21.211792649727748,80.10950199637024,Sugarcane,61.67688567762847
294,BULDHANA,Maharashtra,20.56680611183355,76.39017880364096,Sugarcane,68.4823662496673
295,CHANDRAPUR,Maharashtra,20.095609090909075,79.31556380471388,Sugarcane,90.0
